formal,address,tel
福岡市男女共同参画推進センター「アミカス」図書室,福岡県福岡市南区高宮3-3-1,092-534-7593
福岡市中央図書館,福岡県福岡市中央区赤坂2丁目5−8,092-751-9534
福岡市南図書館,福岡県福岡市南区塩原二丁目8-2 南市民センター1階,092-561-3048
福岡市博多南図書館,福岡県福岡市博多区南本町二丁目3-1 さざんぴあ博多2階,092-502-8580
福岡市博多図書館,福岡県福岡市博多区山王一丁目13-10 博多市民センター3階,092-472-5996
福岡市和白図書館,福岡県福岡市東区和白丘一丁目22-27 和白地域交流センター4階,092-608-8490
福岡市城南図書館,福岡県福岡市城南区片江五丁目3-25 城南市民センター1階,092-864-4823
福岡市早良南図書館,福岡県福岡市早良区四箇田団地9-1,092-400-0690
福岡市早良図書館,福岡県福岡市早良区百道二丁目2-1 早良市民センター2階,092-845-8835
福岡市東図書館,福岡県福岡市東区千早4-21-45,092-674-3982
福岡市総合図書館,福岡県福岡市早良区百道浜3-7-1,092-852-0600
福岡市西図書館,福岡県福岡市西区内浜一丁目4-39 西市民センター1階,092-884-3874
福岡市西部図書館,福岡県福岡市西区西都2-1-1 西部地域交流センター2階,092-807-8802
福岡県立図書館,福岡県福岡市東区箱崎1-41-12,092-641-1123
福岡アメリカン・センター・レファレンス資料室,福岡県福岡市中央区天神2-2-67 ソラリア・パークサイドビル8階,092-733-0246
福岡市市民福祉プラザ「ふくふくプラザ」福祉図書・情報室,福岡県福岡市中央区荒戸3丁目3番39号 福岡市市民福祉プラザ（ふくふくプラザ）2階,092-731-2946
福岡アジア都市研究所・都市政策資料室,福岡県福岡市博多区博多駅前2-8-1 博多区役所10階,092-710-6435
サイバー大学附属図書館,福岡県福岡市東区香椎照葉3-2-1 シーマークビル3F,03-6895-0103 [東京オフィス]
第一薬科大学図書館,福岡県福岡市南区玉川町22番1号,092-541-0161
福岡歯科大学情報図書館,福岡県福岡市早良区田村2丁目15番1号,092-801-0411 [大学]
福岡看護大学情報図書館,福岡県福岡市早良区田村2-15-1,092-801-0411
福岡工業大学・福岡工業大学短期大学部附属図書館,福岡県福岡市東区和白東3-30-1,092-606-0691
福岡女学院中学校・高等学校図書館,福岡県福岡市南区曰佐3-42-1,092-575-2470
福岡女学院大学図書館,福岡県福岡市南区曰佐3丁目42−1,092-575-6402
福岡大学図書館,福岡県福岡市城南区七隈八丁目19番1号,092-871-6631
福岡大学図書館医学部分館,福岡県福岡市城南区七隈七丁目45番1号,092-801-1011 (内線3052)
福岡国際医療福祉大学図書館,福岡県福岡市早良区百道浜3-6-40,092-832-1166
福岡女子大学学術情報センター（図書館）,福岡県福岡市東区香住ヶ丘1丁目1-1,092-661-2416
純真学園図書館,福岡県福岡市南区筑紫丘1-1-1,092-541-1527
香蘭女子短期大学図書館,福岡県福岡市南区横手1-2-1,092-581-1538
九州産業大学図書館,福岡県福岡市東区松香台2丁目3-1,092-673-5385
九州造形短期大学図書館,福岡県福岡市東区松香台2丁目3-2,092-673-5188
九州大学中央図書館,福岡県福岡市西区元岡744 イーストゾーン,092-802-2480
九州大学医学図書館,福岡県福岡市東区馬出3-1-1,092-642-6035
九州大学情報基盤研究開発センター図書室,福岡県福岡市西区元岡744,092-642-2296
九州大学理系図書館,福岡県福岡市西区元岡744番地 ウエストゾーン,092-802-2450
九州大学芸術工学図書館,福岡県福岡市南区塩原4-9-1,092-553-4427
九州大学附属図書館付設記録資料館,福岡県福岡市西区元岡744 イーストゾーン椎木講堂横,092-802-6294 [九州文化史資料部門]
中村学園大学図書館,福岡県福岡市城南区別府5-7-1,092-851-2573
西日本短期大学図書館,福岡県福岡市中央区福浜1-3-1,092-721-1174
令和健康科学大学図書館,福岡県福岡市東区和白丘2-1-12,092-607-6701
精華女子短期大学附属図書館,福岡県福岡市博多区南八幡町2丁目12番1号,092-591-6331
西南学院大学図書館,福岡県福岡市早良区西新6丁目2番92号,092-823-3426
